The	AT the AT-TL the
intelligent	JJ intelligent
choice	NN choice
All	ABN all ABN-HL all
except	IN except
absent	JJ absent
Paradise	NN-TL paradise
lost	VBD lose VBN lose
alleged	VBN allege
water	NN water
needs	NNS need VBZ need
Texas'	NP$ texas '
big	JJ big JJ-HL big
Cotten	NP cotten
Weatherford	NP weatherford
insisted	VBD insist
development	NN development
Representatives	NNS-TL representative
effort	NN effort
Fort	NN-TL fort
Worth	NP worth
cover	VB cover
places	NNS place
Wise	NP-TL wise
hamlet	NN hamlet
250	CD 250
shouting	NN shout
ended	VBD end VBN end
114	CD 114
sending	VBG send
sponsored	VBN sponsor VBD sponsor
Most	AP most
$5,000,000	NNS $ 5,000,000
$15,000,000	NNS $ 15,000,000
maximum	JJ maximum NN maximum
loan	NN loan
could	MD could
project	NN project VB project
construed	VBD construe
large	JJ large
felt	VBD feel VBN feel
spent	VBN spend VBD spend
providing	VBG provide CS provide
Statements	NNS statement
paying	VBG pay
benefit	VB benefit NN benefit
pending	JJ pende
sway	VB sway
Cotten's	NP$ cotten 's
attack	NN attack VB attack NN-HL attack
bill's	NN$ bill 's
defenders	NNS defender
mostly	RB mostly
small-town	NN small - town
Buchanan	NP buchanan
Dumas	NP duma
Eligio	NP eligio
Kika	NP kika
De	NP de FW-IN de FW-IN-TL de
La	NP la FW-AT-TL la
Garza	NP garza
Mission	NN-TL mission
F.	NP f.
Collins	NP collins
Newton	NP newton
Chapman	NP chapman
Sulphur	NN-TL sulphur
Springs	NNS-TL spring
poor	JJ poor
boy's	NN$ boy 's
peanut	NN peanut
serving	VBG serve NN serve
reducing	VBG reduce
learning	VBG learn NN learn
educational	JJ educational
methods	NNS method
C.	NP c. NP-TL c.
Grover	NP grover
teaches	VBZ teach
history	NN history
24	CD 24 CD-HL 24
12	CD 12 CD-TL 12
semester	NN semester
hours	NNS hour
so-called	JJ so - call
teaching	VBG teach
required	VBN require
junior	JJ junior NN junior
senior	JJ senior NN senior
high	JJ high NN high JJ-HL high RB high
normal	JJ normal
college	NN college
30	CD 30
junior-senior	JJ junior - senior
teachers	NNS teacher
least	AP least
credit	VB credit NN credit
subject	NN subject
remainder	NN remainder
4-year	JJ 4 - year
subjects	NNS subject
person	NN person
master's	NN$ master 's
degree	NN degree
physics	NN physics
chemistry	NN chemistry
math	NN math
English	NP english JJ english
permitted	VBN permit VBD permit
teach	VB teach
College	NN college NN-TL college
Fifty-three	CD fifty - three
150	CD 150
immediately	RB immediately
joined	VBD join VBN join
co-signers	NNS co - signer
sp.	NN-HL sp .
regents	NNS regent
Junior	JJ-TL junior
named	VBN name VBD name
Dr.	NN-TL dr. NN-TL-HL dr.
Clarence	NP clarence
Clark	NP clark
Hays	NP hays
Kan.	NP kan.
school's	NN$ school 's
president	NN president
succeed	VB succeed
McLemore	NP mclemore
retire	VB retire
close	NN close JJ close RB close VB close
holds	VBZ hold
earned	VBN earn VBD earn
Doctor	NN-TL doctor
University	NN-TL university
Oklahoma	NP-TL oklahoma NP oklahoma
Master	NN-TL master
Science	NN-TL science
&	CC & CC-TL &
Bachelor	NN-TL bachelor
Southwestern	JJ-TL southwestern JJ southwestern
Okla.	NP okla.
addition	NN addition
Rhode	NP-TL rhode
Island	NN-TL island
Massachusetts	NP-TL massachusetts NP massachusetts
Institute	NN-TL institute
Technology	NN-TL technology
captain	NN captain
basketball	NN basketball
team	NN team
football	NN football
letterman	NN letterman
served	VBN serve VBD serve VBD-HL serve
athletic	JJ athletic
Raymondville	NP raymondville
High	JJ-TL high
instructor	NN instructor
associate	JJ associate
professor	NN professor
border	NN border
patrolman	NN patrolman
Signal	NN-TL signal
Corps	NN-TL corp
Army	NN-TL army
Denton	NP-HL denton NP-TL denton NP denton
Principals	NNS principal
Independent	JJ-TL independent
re-elected	VBN re - elect
1961-62	CD 1961 - 62
recommendation	NN recommendation
Supt.	NN-TL supt .
Chester	NP chester NP-TL chester
O.	NP o. NP-TL o.
Strickland	NP strickland
racial	JJ racial
discrimination	NN discrimination
employment	NN employment
called	VBN call VBD call
yesterday	NR yesterday
blue	JJ blue
ribbon	NN ribbon
dependent	JJ dependent
culminating	VBG culminate
ADC	NN adc
Cook	NP cook NP-TL cook
New	JJ-TL new JJ-HL new JJ new
York	NP-TL york
consulting	VBG consult
firm	NN firm JJ firm
10	CD 10 CD-TL 10
range	NN range NN-HL range
soaring	VBG soar
case	NN case NN-HL case
load	NN load
serious	JJ serious
causes	NNS cause VBZ cause
family	NN family
breakdown	NN breakdown
desertion	NN desertion
dependency	NN dependency
Must	MD-HL must MD must MD-TL must
solve	VB-HL solve VB solve
monthly	JJ monthly
100,000	CD 100,000
recipients	NNS recipient
4.4	CD 4.4
Virgil	NP virgil
Martin	NP martin
Carson	NP carson
Pirie	NP pirie
Co.	NN-TL co.
We	PPSS we
problems	NNS problem
forced	VBN force VBD force
depend	VB depend
subsistence	NN subsistence
volume	NN volume
cases	NNS case NNS-HL case
decrease	VB decrease
community	NN community
able	JJ able
deal	VB deal VB-HL deal
effectively	RB effectively
Relatively	RB relatively
limited	VBN limited VBD limited
skills	NNS skill
color	NN color
underlying	VBG underlie
breakups	NNS breakup
Calls	VBZ-HL call
extension	NN-HL extension
Other	AP other
Extension	NN extension
living	VBG live NN live
relatives	NNS relative
parents	NNS parent
preserving	VBG preserve
unity	NN unity
projects	NNS project
prevention	NN prevention
illegitimacy	NN illegitimacy
Several	AP several
defendants	NNS defendant
Summerdale	NP summerdale
police	NN police NNS police NNS-HL police
burglary	NN burglary
trial	NN trial NN-HL trial
statements	NNS statement
indicating	VBG indicate
guilt	NN guilt
arrest	NN arrest
Parsons	NP parsons
Criminal	JJ-TL criminal
disclosure	NN disclosure
Bellows	NP bellows
defense	NN defense
counsel	NN counsel
startled	VBD startle
observers	NNS observer
viewed	VBN view VBD view
prelude	NN prelude
quarrel	NN quarrel
six	CD six
attorneys	NNS attorney
eight	CD eight
policemen	NNS policeman
grant	VB grant NN grant VB-HL grant
client	NN client
Alan	NP alan
Clements	NP clements
separate	JJ separate
request	NN request VB request
while	CS while NN while VB while
all-woman	JJ all - woman
courtroom	NN courtroom
Fears	VBZ-HL fear
prejudicial	JJ-HL prejudicial JJ prejudicial
aspects	NNS-HL aspect NNS aspect
highly	QL highly
Some	DTI some DTI-HL some
strongly	RB strongly
indicated	VBD indicate VBN indicate
knew	VBD know
receiving	VBG receive
stolen	VBN steal
involving	VBG involve
themselves	PPLS themselves
others	NNS other NNS-HL other
leaned	VBD lean
bench	NN bench
inquired	VBD inquire
mean	VB mean
admitting	VBG admit
?	. ?
Yes	RB yes
your	PP$ your
honor	NN honor VB honor VB-HL honor
replied	VBD reply
What	WDT what
amounts	VBZ amount NNS amount
true	JJ true
free-for-all	JJ free - for - all
conflict	NN conflict VB conflict
July	NP-HL july NP july
President	NN-TL president
Kennedy	NP kennedy NP-TL kennedy
today	NR today
pushed	VBD push VBN push
White	JJ-TL white NN-TL white NP white
business	NN business NN-HL business
devote	VB devote
attention	NN attention
working	VBG work
Berlin	NP berlin NP-TL berlin
crisis	NN crisis
address	NN address
deliver	VB deliver
tomorrow	NR tomorrow NR-HL tomorrow
American	JJ american JJ-TL american NP american
nationwide	JJ nationwide
television	NN television
radio	NN radio
much	AP much QL much RB much
week-end	NN week - end
summer	NN summer
Cape	NN-TL cape
Cod	NN-TL cod
writing	VBG write
drafts	NNS draft
portions	NNS portion
aids	NNS aid
whom	WPO whom
talked	VBD talk VBN talk
Shortly	RB shortly
Chief	JJS-TL chief NN-TL chief
returned	VBD return VBN return
midmorning	NN midmorne
Hyannis	NP hyannis
Port	NN-TL port
Mass.	NP mass.
spokesman	NN spokesman
text	NN text
quite	ABL quite QL quite RB quite
way	NN way QL way
completion	NN completion
Decisions	NNS-HL decision
Asked	VBN ask
Pierre	NP pierre NP-TL pierre
Salinger	NP salinger
press	NN press VB press
secretary	NN secretary
say	VB say
it's	PPS+HVZ it be PPS+BEZ it be
thru	IN thru
advisers	NNS adviser
staff	NN staff
doing	VBG do
involved	VBD involve VBN involve VBN-HL involve
composition	NN composition
wording	VBG word
rather	IN rather RB rather
minute	NN minute
decisions	NNS decision
meet	VB meet VB-HL meet NN meet
latest	JJT late
precipitated	VBN precipitate
Russia's	NP$ russia 's
demands	NNS demand
Nov.	NP nov.
dismissed	VBN dismiss
Acting	VBG-TL act VBG act
Karns	NP karns
prosecution	NN prosecution
obtained	VBD obtain VBN obtain
unfair	JJ unfair
fundamentally	QL fundamentally
illegal	JJ illegal
matter	NN matter VB matter
even	QL even RB even JJ even VB even
significance	NN significance
innocence	NN innocence
50	CD 50
legal	JJ legal
rights	NNS right
Karns'	NP$ karns '
ruling	NN rule
pertained	VBD pertain
ruled	VBD rule VBN rule
unable	JJ unable
Contempt	NN contempt
proceedings	NNS proceeding
originally	RB originally
677	CD 677
133	CD 133 CD-TL 133
Morris	NP morris NP-TL morris
Wexler	NP wexler
prosecutor	NN prosecutor
Issue	VB-HL issue
subpoenas	NNS-HL subpoena
admitted	VBD admit VBN admit
hearings	NNS hearing
subpenas	NNS subpena
200	CD 200
questioned	VBD question VBN question
individuals	NNS individual
building	NN build VBG build
Mayer	NP mayer
Goldberg	NP goldberg
judges	NNS judge
58th	OD 58th
precinct	NN precinct
23d	OD 23d
ward	NN ward
procedure	NN procedure
constituted	VBD constitute VBN constitute
intimidation	NN intimidation
repeatedly	RB repeatedly
coercion	NN coercion
used	VBN use VBD use
questioning	VBG question
wrongful	JJ wrongful
privately	RB privately
outside	IN outside JJ outside
room	NN room
misuse	NN misuse
processes	NNS process
Actually	RB actually
abuse	NN abuse
process	NN process
contempt	NN contempt
altho	CS altho
vindication	NN vindication
function	NN function
judge	NN judge VB judge
East	JJ-TL east NR-TL east
St.	NP-TL st. NN-TL st. NP st. NP-HL st.
sitting	VBG sit
Faced	VBD-HL face
35	CD 35
complementary	JJ complementary
miscount	NN miscount
another	DT another
33d	OD 33d
24th	OD 24th
42d	OD 42d
31st	OD 31st
21st	OD 21st
28th	OD 28th
29th	OD 29th
18th	OD 18th
4th	OD 4th
9th	OD 9th
advisement	NN advisement
Claims	VBZ-HL claim
precedent	NN-HL precedent NN precedent
reading	VBG read NN read
statement	NN statement
discharging	VBG discharge
subpenaed	VBN subpenaed
dismiss	VB dismiss
9	CD-HL 9 CD 9
mammoth	JJ mammoth
care	NN care NN-HL care VB care
whereby	WRB whereby
social	JJ social
security	NN security
70	CD 70
workers	NNS worker
raised	VBN raise VBN-HL raise VBD raise
hospital	NN hospital
14.2	CD 14.2
Americans	NPS american
covered	VBN cover
railroad	NN railroad
retirement	NN retirement
programs	NNS program
message	NN message
tied	VBD tie VBN tie
aged	VBN aged
requests	NNS request VBZ request
grants	NNS grant
finance	VB finance NN finance
dental	JJ dental
scholarships	NNS scholarship
build	VB build
20	CD 20
expand	VB expand
health	NN health
Capitol	NN-TL capitol
hill	NN-TL hill NN-HL hill NN hill
Cost	NN-HL cost
$37	NNS-HL $ 37 NNS $ 37
financed	VBN finance
boosting	VBG boost
payroll	NN payroll
worker	NN worker
employer	NN employer
$4,800	NNS $ 4,800
alone	RB alone
boost	VB boost NN boost
base	NN base
$5,000	NNS $ 5,000
6.5	CD 6.5
3.25	CD 3.25
Similar	JJ similar
boosts	NNS boost
imposed	VBN impose
those	DTS those
actually	RB actually
rise	VB rise NN rise
7.5	CD 7.5
starting	VBG start
1963	CD 1963
levy	NN levy
already	RB already
Outlays	NNS-HL outlay
Officials	NNS official
1.5	CD 1.5
billion	CD billion
benefits	NNS benefit
Both	ABX both
figures	NNS figure VBZ figure
higher	RBR high JJR high JJR-HL high
parts	NNS part
entail	VB entail
750	CD 750
Nursing	VBG-HL nursing
carries	VBZ carry
systems	NNS system
Full	JJ full
payment	NN payment NN-HL payment
stays	NNS stay
90	CD 90
illness	NN illness
patient	NN patient JJ patient
nine	CD nine
nursing	VBG nursing VBG-HL nursing
180	CD 180
following	VBG follow NN follow
discharge	NN discharge
300	CD 300
paid-for	JJ pay - for
formula	NN formula
allowing	VBG allow
use	VB use NN use
part	NN part
hospital-care	NN hospital - care
outpatient	NN outpatient
clinic	NN clinic
diagnostic	NN diagnostic
service	NN service
excess	NN excess
$20	NNS $ 20
Community	NN community
visiting	VBG visit
nurse	NN nurse
240	CD 240
noted	VBD note VBN note
states	NNS state
needy	JJ needy
modest	JJ-HL modest JJ modest
wish	NN wish VB wish
nevertheless	RB nevertheless
staggered	VBN stagger VBD stagger
drain	NN drain
caused	VBN cause VBD cause
extended	VBN extended
stay	NN stay VB stay
cut	VBN cut VB cut VBD cut NN-HL cut NN cut
absolutely	RB absolutely
essential	JJ essential NN essential
sufficient	JJ sufficient
deductible	JJ deductible
requirements	NNS requirement
discourage	VB discourage
malingering	NN malinger
unnecessary	JJ unnecessary
overcrowding	NN overcrowding
hospitals	NNS hospital
socialized	VBN socialize
medicine	NN medicine
prepayment	NN prepayment
absolute	JJ absolute
freedom	NN freedom
guaranteed	VBN guarantee
Every	AT every
choose	VB choose
Wouldn't	MD*-HL would n't
doctors	NNS-HL doctor NNS doctor
Apart	RB apart
President's	NN$-TL president 's
ambitious	JJ ambitious
enlarge	VB enlarge
nation's	NN$ nation 's
92	CD 92
47	CD 47
handle	VB handle
student	NN student
needed	VBN need VBN-HL need VBD need
rising	VBG rise
Moreover	RB moreover
qualified	VBN qualified
young	JJ young
going	VBG go
dentistry	NN dentistry
can't	MD* ca n't
afford	VB afford
Contributions	NNS-HL contribution
scholarship	NN scholarship
contributions	NNS contribution
equal	JJ equal VB equal
$1,500	NNS $ 1,500
one-fourth	NN one - fourth
based	VBN base
$2,000	NNS $ 2,000
government	NN government
5.1	CD 5.1
21	CD 21
1966	CD 1966
matching	VBG match JJ match
totaling	VBG total
700	CD 700
constructing	VBG construct
enlarging	VBG enlarge
capacity	NN capacity
existing	VBG exist
More	AP-HL more AP more
area	NN area
doubling	VBG double
dollar	NN dollar
initial	JJ initial
appropriation	NN appropriation
stimulatory	JJ stimulatory
improve	VB improve
unspecified	JJ unspecified
sum	NN sum
experimental	JJ experimental
field	NN field VB field
children's	NNS$ child 's
bureau	NN bureau
national	JJ national
institute	NN institute VB institute
Asks	VBZ-HL ask
vocational	JJ vocational
rehabilitation	NN rehabilitation
how	QL how WRB how
For	IN for IN-TL for
facilities	NNS facility
propose	VB propose
increasing	VBG increase
540	CD 540
direct	JJ direct
combine	VB combine
indispensable	JJ indispensable
elements	NNS element
sound	JJ sound
knowledge	NN knowledge
Reaction	NN-HL reaction
Congressional	JJ congressional JJ-TL congressional
reaction	NN reaction
along	IN along RB along
lines	NNS line VBZ line
Legislators	NNS legislator NNS-HL legislator
placing	VBG place
aged-care	NN age - care
criticized	VBD criticize VBN-HL criticize VBN criticize
Those	DTS those
backed	VBD back
hailed	VBD hail VBN-HL hail
Republican	NP-TL republican NP republican
Leader	NN-TL leader
Dirksen	NP dirksen
Ill.	NP ill. NP-HL ill.
Halleck	NP halleck
Ind.	NP ind.
persuade	VB persuade
change	VB change NN-HL change NN change
compulsory	JJ compulsory
voluntary	JJ voluntary
enacted	VBN enact
Speaker	NN-TL speaker
Rayburn	NP rayburn
Tex.	NP tex . NP-HL tex .
mighty	QL mighty JJ mighty
thing	NN thing
prediction	NN prediction
fate	NN fate
hastily	RB hastily
pressure	NN pressure
tonight	NR tonight
confirmed	VBD confirm
Weaver	NP weaver
housing	VBG housing NN housing
11	CD 11 CD-HL 11
floor	NN floor
record	NN record
scattered	VBN scatter
ayes	NNS aye
noes	NNS noes
Customary	JJ customary
ignored	VBN ignore
speed	VB speed NN speed
Negro	NP negro
leader	NN leader
administrator	NN administrator
agency	NN agency
Presidential	JJ-TL presidential
appointments	NNS appointment
cabinet	NN cabinet
rank	NN rank
immediate	JJ immediate
rule	NN rule VB rule
requiring	VBG require
hour	NN hour
Enforce	VB-HL enforce
demand	NN-HL demand NN demand
Wayne	NP wayne
Morse	NP morse
Ore.	NP ore.
connection	NN connection
Eisenhower's	NP$ eisenhower 's
selections	NNS selection
1953	CD 1953
Kennedy's	NP$ kennedy 's
Oslo	NP-HL oslo NP oslo
positive	JJ positive
element	NN element
emerge	VB emerge
North	JJ-TL north
Atlantic	NP-TL atlantic
Treaty	NN-TL treaty
Organization	NN-TL organization
Foreign	JJ-TL foreign JJ foreign
Ministers	NNS-TL minister
freer	JJR free
franker	JJR frank
wider	JJR wide
discussions	NNS discussion
animated	VBN animate
mutual	JJ mutual
understanding	NN understand VBG understand
meetings	NNS meeting
organization	NN organization
nature	NN nature
proceed	VB proceed
route	NN route FW-NN route
step	NN step VB step
without	IN without
dramatic	JJ dramatic
changes	NNS change
ministers	NNS minister
met	VBN meet VBD meet
climate	NN climate
candor	NN candor
genuine	JJ genuine
attempt	NN attempt
another's	DT$ another be
atmosphere	NN atmosphere
particularly	RB particularly
noticeable	JJ noticeable
concerned	VBN concerned
colonialist	NN colonialist
powers	NNS power
never	RB never
nightmare	NN nightmare
clash	NN clash
Africa	NP africa NP-TL africa
exacerbated	VBN exacerbate
difficulties	NNS difficulty
tragedies	NNS tragedy
facing	VBG face
allies	NNS ally
intellectually	RB intellectually
emotionally	RB emotionally
disapprove	VB disapprove
circumstances	NNS circumstance
troubles	NNS trouble
conspicuous	JJ conspicuous
absence	NN absence
Explosion	NN-HL explosion
avoided	VBN-HL avoid
Portugal	NP portugal
few	AP few
weeks	NNS week
ago	RB ago
rumored	VBN rumor
walk	VB walk NN walk
NATO	NN nato
Council	NN-TL council NN council
critics	NNS critic
Angola	NP angola
policy	NN policy
prove	VB prove
harsh	JJ harsh
relaxation	NN relaxation
tension	NN tension
remarkably	QL remarkably
courteous	JJ courteous
explanation	NN explanation
basic	JJ basic
positions	NNS position
unchanged	JJ unchanged
explosion	NN explosion
bitter	JJ bitter
surprises	NNS surprise
UN	NN un
General	JJ-TL general
Assembly	NN-TL assembly
members'	NNS$ member '
